geoRegion,datum,entries,timeframe_all,timeframe_phase2,timeframe_phase2b,timeframe_phase3,timeframe_phase4,timeframe_phase5,timeframe_vacc_info,timeframe_28d,timeframe_14d,sumTotal,offset_vacc_info,sumTotal_vacc_info,freq,prct,pop,inz_entries,inzsumTotal,type,type_variant,version,datum_unit,datum_dboardformated,entries_diff_abs,entries_diff_inz,entries_diff_pct,prct_diff
CH,202041,8753,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,64911,511512,0,1,100,8670300,100.95,748.66,COVID19Cases,,2021-12-16_07-53-19,isoweek,2020-41,5291,61.02,152.8,0
CH,202042,19483,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,84394,511512,0,1,100,8670300,224.71,973.37,COVID19Cases,,2021-12-16_07-53-19,isoweek,2020-42,10730,123.76,122.6,0
CH,202043,39678,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,124072,511512,0,1,100,8670300,457.63,1431,COVID19Cases,,2021-12-16_07-53-19,isoweek,2020-43,20195,232.92,103.7,0
CH,202044,55829,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,179901,511512,0,1,100,8670300,643.91,2074.91,COVID19Cases,,2021-12-16_07-53-19,isoweek,2020-44,16151,186.28,40.7,0
CH,202045,51198,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,231099,511512,0,1,100,8670300,590.5,2665.41,COVID19Cases,,2021-12-16_07-53-19,isoweek,2020-45,-4631,-53.41,-8.3,0
CH,202046,39591,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,270690,511512,0,1,100,8670300,456.63,3122.04,COVID19Cases,,2021-12-16_07-53-19,isoweek,2020-46,-11607,-133.87,-22.7,0
CH,202047,30115,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,300805,511512,0,1,100,8670300,347.34,3469.37,COVID19Cases,,2021-12-16_07-53-19,isoweek,2020-47,-9476,-109.29,-23.9,0
CH,202048,26179,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,326984,511512,0,1,100,8670300,301.94,3771.31,COVID19Cases,,2021-12-16_07-53-19,isoweek,2020-48,-3936,-45.4,-13.1,0
CH,202049,27278,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,354262,511512,0,1,100,8670300,314.61,4085.93,COVID19Cases,,2021-12-16_07-53-19,isoweek,2020-49,1099,12.67,4.2,0
CH,202050,30007,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,384269,511512,0,1,100,8670300,346.09,4432.02,COVID19Cases,,2021-12-16_07-53-19,isoweek,2020-50,2729,31.48,10,0
CH,202051,29261,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,413530,511512,0,1,100,8670300,337.49,4769.5,COVID19Cases,,2021-12-16_07-53-19,isoweek,2020-51,-746,-8.6,-2.5,0
CH,202052,23949,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,437479,511512,0,1,100,8670300,276.22,5045.72,COVID19Cases,,2021-12-16_07-53-19,isoweek,2020-52,-5312,-61.27,-18.2,0
CH,202053,23385,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,460864,511512,0,1,100,8670300,269.71,5315.43,COVID19Cases,,2021-12-16_07-53-19,isoweek,2020-53,-564,-6.51,-2.4,0
CH,202101,22007,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,482871,511512,0,1,100,8670300,253.82,5569.25,COVID19Cases,,2021-12-16_07-53-19,isoweek,2021-01,-1378,-15.89,-5.9,0
CH,202102,15162,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,498033,511512,0,1,100,8670300,174.87,5744.13,COVID19Cases,,2021-12-16_07-53-19,isoweek,2021-02,-6845,-78.95,-31.1,0
CH,202103,13479,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,511512,511512,0,1,100,8670300,155.46,5899.59,COVID19Cases,,2021-12-16_07-53-19,isoweek,2021-03,-1683,-19.41,-11.1,0
CH,202104,11506,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,523018,511512,11506,1,100,8670300,132.71,6032.29,COVID19Cases,,2021-12-16_07-53-19,isoweek,2021-04,-1973,-22.75,-14.6,0
CH,202105,10055,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,533073,511512,21561,1,100,8670300,115.97,6148.26,COVID19Cases,,2021-12-16_07-53-19,isoweek,2021-05,-1451,-16.74,-12.6,0
CH,202106,7865,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,540938,511512,29426,1,100,8670300,90.71,6238.98,COVID19Cases,,2021-12-16_07-53-19,isoweek,2021-06,-2190,-25.26,-21.8,0
CH,202107,6970,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,547908,511512,36396,1,100,8670300,80.39,6319.37,COVID19Cases,,2021-12-16_07-53-19,isoweek,2021-07,-895,-10.32,-11.4,0
CH,202108,7213,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,555121,511512,43609,1,100,8670300,83.19,6402.56,COVID19Cases,,2021-12-16_07-53-19,isoweek,2021-08,243,2.8,3.5,0
CH,202109,7577,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,562698,511512,51186,1,100,8670300,87.39,6489.95,COVID19Cases,,2021-12-16_07-53-19,isoweek,2021-09,364,4.2,5,0
CH,202110,8783,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,571481,511512,59969,1,100,8670300,101.3,6591.25,COVID19Cases,,2021-12-16_07-53-19,isoweek,2021-10,1206,13.91,15.9,0
CH,202111,10492,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,581973,511512,70461,1,100,8670300,121.01,6712.26,COVID19Cases,,2021-12-16_07-53-19,isoweek,2021-11,1709,19.71,19.5,0
CH,202112,12535,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,594508,511512,82996,1,100,8670300,144.57,6856.83,COVID19Cases,,2021-12-16_07-53-19,isoweek,2021-12,2043,23.56,19.5,0
CH,202113,12286,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,606794,511512,95282,1,100,8670300,141.7,6998.54,COVID19Cases,,2021-12-16_07-53-19,isoweek,2021-13,-249,-2.87,-2,0
CH,202114,14134,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,620928,511512,109416,1,100,8670300,163.02,7161.55,COVID19Cases,,2021-12-16_07-53-19,isoweek,2021-14,1848,21.32,15,0
CH,202115,14078,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,635006,511512,123494,1,100,8670300,162.37,7323.92,COVID19Cases,,2021-12-16_07-53-19,isoweek,2021-15,-56,-0.65,-0.4,0
CH,202116,14519,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,649525,511512,138013,1,100,8670300,167.46,7491.38,COVID19Cases,,2021-12-16_07-53-19,isoweek,2021-16,441,5.09,3.1,0
CH,202117,11868,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,661393,511512,149881,1,100,8670300,136.88,7628.26,COVID19Cases,,2021-12-16_07-53-19,isoweek,2021-17,-2651,-30.58,-18.3,0
CH,202118,10301,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,671694,511512,160182,1,100,8670300,118.81,7747.07,COVID19Cases,,2021-12-16_07-53-19,isoweek,2021-18,-1567,-18.07,-13.2,0
CH,202119,7839,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,679533,511512,168021,1,100,8670300,90.41,7837.48,COVID19Cases,,2021-12-16_07-53-19,isoweek,2021-19,-2462,-28.4,-23.9,0
CH,202120,7345,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,686878,511512,175366,1,100,8670300,84.71,7922.19,COVID19Cases,,2021-12-16_07-53-19,isoweek,2021-20,-494,-5.7,-6.3,0
CH,202121,5110,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,691988,511512,180476,1,100,8670300,58.94,7981.13,COVID19Cases,,2021-12-16_07-53-19,isoweek,2021-21,-2235,-25.77,-30.4,0
CH,202122,3519,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,695507,511512,183995,1,100,8670300,40.59,8021.72,COVID19Cases,,2021-12-16_07-53-19,isoweek,2021-22,-1591,-18.35,-31.1,0
CH,202123,2315,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,697822,511512,186310,1,100,8670300,26.7,8048.42,COVID19Cases,,2021-12-16_07-53-19,isoweek,2021-23,-1204,-13.89,-34.2,0
CH,202124,1239,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,699061,511512,187549,1,100,8670300,14.29,8062.71,COVID19Cases,,2021-12-16_07-53-19,isoweek,2021-24,-1076,-12.41,-46.5,0
CH,202125,744,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,699805,511512,188293,1,100,8670300,8.58,8071.29,COVID19Cases,,2021-12-16_07-53-19,isoweek,2021-25,-495,-5.71,-40,0
CH,202126,1026,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,700831,511512,189319,1,100,8670300,11.83,8083.12,COVID19Cases,,2021-12-16_07-53-19,isoweek,2021-26,282,3.25,37.9,0
CH,202127,2050,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,702881,511512,191369,1,100,8670300,23.64,8106.77,COVID19Cases,,2021-12-16_07-53-19,isoweek,2021-27,1024,11.81,99.8,0
CH,202128,3795,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,706676,511512,195164,1,100,8670300,43.77,8150.54,COVID19Cases,,2021-12-16_07-53-19,isoweek,2021-28,1745,20.13,85.1,0
CH,202129,4952,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,711628,511512,200116,1,100,8670300,57.11,8207.65,COVID19Cases,,2021-12-16_07-53-19,isoweek,2021-29,1157,13.34,30.5,0
CH,202130,5254,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,716882,511512,205370,1,100,8670300,60.6,8268.25,COVID19Cases,,2021-12-16_07-53-19,isoweek,2021-30,302,3.49,6.1,0
CH,202131,7626,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,724508,511512,212996,1,100,8670300,87.96,8356.2,COVID19Cases,,2021-12-16_07-53-19,isoweek,2021-31,2372,27.36,45.1,0
CH,202132,14147,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,738655,511512,227143,1,100,8670300,163.17,8519.37,COVID19Cases,,2021-12-16_07-53-19,isoweek,2021-32,6521,75.21,85.5,0
CH,202133,17956,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,756611,511512,245099,1,100,8670300,207.1,8726.47,COVID19Cases,,2021-12-16_07-53-19,isoweek,2021-33,3809,43.93,26.9,0
CH,202134,17891,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,774502,511512,262990,1,100,8670300,206.35,8932.82,COVID19Cases,,2021-12-16_07-53-19,isoweek,2021-34,-65,-0.75,-0.4,0
CH,202135,18768,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,793270,511512,281758,1,100,8670300,216.46,9149.28,COVID19Cases,,2021-12-16_07-53-19,isoweek,2021-35,877,10.11,4.9,0
CH,202136,18150,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,811420,511512,299908,1,100,8670300,209.34,9358.62,COVID19Cases,,2021-12-16_07-53-19,isoweek,2021-36,-618,-7.12,-3.3,0
CH,202137,12722,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,824142,511512,312630,1,100,8670300,146.73,9505.35,COVID19Cases,,2021-12-16_07-53-19,isoweek,2021-37,-5428,-62.61,-29.9,0
CH,202138,9328,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,833470,511512,321958,1,100,8670300,107.59,9612.93,COVID19Cases,,2021-12-16_07-53-19,isoweek,2021-38,-3394,-39.14,-26.7,0
CH,202139,7649,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,841119,511512,329607,1,100,8670300,88.22,9701.15,COVID19Cases,,2021-12-16_07-53-19,isoweek,2021-39,-1679,-19.37,-18,0
CH,202140,6364,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,847483,511512,335971,1,100,8670300,73.4,9774.55,COVID19Cases,,2021-12-16_07-53-19,isoweek,2021-40,-1285,-14.82,-16.8,0
CH,202141,6429,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,853912,511512,342400,1,100,8670300,74.15,9848.7,COVID19Cases,,2021-12-16_07-53-19,isoweek,2021-41,65,0.75,1,0
CH,202142,8699,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,862611,511512,351099,1,100,8670300,100.33,9949.03,COVID19Cases,,2021-12-16_07-53-19,isoweek,2021-42,2270,26.18,35.3,0
CH,202143,11543,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,874154,511512,362642,1,100,8670300,133.13,10082.17,COVID19Cases,,2021-12-16_07-53-19,isoweek,2021-43,2844,32.8,32.7,0
CH,202144,17232,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,891386,511512,379874,1,100,8670300,198.75,10280.91,COVID19Cases,,2021-12-16_07-53-19,isoweek,2021-44,5689,65.62,49.3,0
CH,202145,24885,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,916271,511512,404759,1,100,8670300,287.01,10567.93,COVID19Cases,,2021-12-16_07-53-19,isoweek,2021-45,7653,88.26,44.4,0
CH,202146,37752,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,954023,511512,442511,1,100,8670300,435.42,11003.34,COVID19Cases,,2021-12-16_07-53-19,isoweek,2021-46,12867,148.41,51.7,0
CH,202147,51118,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1005141,511512,493629,1,100,8670300,589.58,11592.92,COVID19Cases,,2021-12-16_07-53-19,isoweek,2021-47,13366,154.16,35.4,0
CH,202148,63278,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1068419,511512,556907,1,100,8670300,729.82,12322.75,COVID19Cases,,2021-12-16_07-53-19,isoweek,2021-48,12160,140.24,23.8,0
CH,202149,64212,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1132631,511512,621119,1,100,8670300,740.6,13063.34,COVID19Cases,,2021-12-16_07-53-19,isoweek,2021-49,934,10.78,1.5,0
CHFL,202009,56,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,56,514034,0,1,100,8709355,0.64,0.64,COVID19Cases,,2021-12-16_07-53-19,isoweek,2020-09,NA,NA,NA,NA
CHFL,202010,378,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,434,514034,0,1,100,8709355,4.34,4.98,COVID19Cases,,2021-12-16_07-53-19,isoweek,2020-10,322,3.7,575,0
CHFL,202011,2278,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2712,514034,0,1,100,8709355,26.16,31.14,COVID19Cases,,2021-12-16_07-53-19,isoweek,2020-11,1900,21.82,502.6,0
CHFL,202012,6593,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9305,514034,0,1,100,8709355,75.7,106.84,COVID19Cases,,2021-12-16_07-53-19,isoweek,2020-12,4315,49.54,189.4,0
CHFL,202013,7363,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,16668,514034,0,1,100,8709355,84.54,191.38,COVID19Cases,,2021-12-16_07-53-19,isoweek,2020-13,770,8.84,11.7,0
CHFL,202014,6038,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,22706,514034,0,1,100,8709355,69.33,260.71,COVID19Cases,,2021-12-16_07-53-19,isoweek,2020-14,-1325,-15.21,-18,0
CHFL,202015,3605,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,26311,514034,0,1,100,8709355,41.39,302.1,COVID19Cases,,2021-12-16_07-53-19,isoweek,2020-15,-2433,-27.94,-40.3,0
CHFL,202016,1840,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,28151,514034,0,1,100,8709355,21.13,323.23,COVID19Cases,,2021-12-16_07-53-19,isoweek,2020-16,-1765,-20.26,-49,0
CHFL,202017,1168,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,29319,514034,0,1,100,8709355,13.41,336.64,COVID19Cases,,2021-12-16_07-53-19,isoweek,2020-17,-672,-7.72,-36.5,0
CHFL,202018,700,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,30019,514034,0,1,100,8709355,8.04,344.68,COVID19Cases,,2021-12-16_07-53-19,isoweek,2020-18,-468,-5.37,-40.1,0
CHFL,202019,401,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,30420,514034,0,1,100,8709355,4.6,349.28,COVID19Cases,,2021-12-16_07-53-19,isoweek,2020-19,-299,-3.44,-42.7,0
CHFL,202020,231,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,30651,514034,0,1,100,8709355,2.65,351.93,COVID19Cases,,2021-12-16_07-53-19,isoweek,2020-20,-170,-1.95,-42.4,0
CHFL,202021,154,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,30805,514034,0,1,100,8709355,1.77,353.7,COVID19Cases,,2021-12-16_07-53-19,isoweek,2020-21,-77,-0.88,-33.3,0
CHFL,202022,126,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,30931,514034,0,1,100,8709355,1.45,355.15,COVID19Cases,,2021-12-16_07-53-19,isoweek,2020-22,-28,-0.32,-18.2,0
CHFL,202023,98,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,31029,514034,0,1,100,8709355,1.13,356.27,COVID19Cases,,2021-12-16_07-53-19,isoweek,2020-23,-28,-0.32,-22.2,0
