date,geoRegion,sex,entries,type_variant,pop,sumTotal,per100Persons,per100PersonsTotal,type,version,granularity,freq,prct
202118,AG,male,11596,sex,348814,80901,3.32,23.19,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.495,49.5
202119,AG,male,8795,sex,348814,89696,2.52,25.71,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.475,47.5
202120,AG,male,9016,sex,348814,98712,2.58,28.3,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.493,49.3
202121,AG,male,12795,sex,348814,111507,3.67,31.97,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.517,51.7
202122,AG,male,14716,sex,348814,126223,4.22,36.19,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.539,53.900000000000006
202123,AG,male,17598,sex,348814,143821,5.05,41.23,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.547,54.7
202124,AG,male,14554,sex,348814,158375,4.17,45.4,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.557,55.7
202125,AG,male,7657,sex,348814,166032,2.2,47.6,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.535,53.5
202126,AG,male,5043,sex,348814,171075,1.45,49.04,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.514,51.4
202127,AG,male,3108,sex,348814,174183,0.89,49.94,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.532,53.2
202128,AG,male,3142,sex,348814,177325,0.9,50.84,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.542,54.2
202129,AG,male,2446,sex,348814,179771,0.7,51.54,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.51,51
202130,AG,male,2548,sex,348814,182319,0.73,52.27,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.52,52
202131,AG,male,2746,sex,348814,185065,0.79,53.06,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.506,50.6
202132,AG,male,2459,sex,348814,187524,0.7,53.76,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.513,51.300000000000004
202133,AG,male,3228,sex,348814,190752,0.93,54.69,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.492,49.2
202134,AG,male,4535,sex,348814,195287,1.3,55.99,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.499,49.9
202135,AG,male,4632,sex,348814,199919,1.33,57.31,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.503,50.3
202136,AG,male,6052,sex,348814,205971,1.74,59.05,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.523,52.300000000000004
202137,AG,male,6508,sex,348814,212479,1.87,60.91,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.54,54
202138,AG,male,3764,sex,348814,216243,1.08,61.99,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.517,51.7
202139,AG,male,2357,sex,348814,218600,0.68,62.67,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.51,51
202140,AG,male,1932,sex,348814,220532,0.55,63.22,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.513,51.300000000000004
202141,AG,male,1899,sex,348814,222431,0.54,63.77,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.52,52
202142,AG,male,1528,sex,348814,223959,0.44,64.21,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.525,52.5
202143,AG,male,1365,sex,348814,225324,0.39,64.6,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.536,53.6
202144,AG,male,1115,sex,348814,226439,0.32,64.92,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.539,53.900000000000006
202145,AG,male,1599,sex,348814,228038,0.46,65.38,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.524,52.400000000000006
202146,AG,male,1341,sex,348814,229379,0.38,65.76,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.523,52.300000000000004
202147,AG,male,1025,sex,348814,230404,0.29,66.05,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.485,48.5
202148,AG,male,1393,sex,348814,231797,0.4,66.45,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.512,51.2
202052,AG,female,6,sex,345258,6,0,0,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.75,75
202053,AG,female,132,sex,345258,138,0.04,0.04,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.706,70.6
202101,AG,female,1314,sex,345258,1452,0.38,0.42,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.525,52.5
202102,AG,female,1878,sex,345258,3330,0.54,0.96,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.549,54.900000000000006
202103,AG,female,3396,sex,345258,6726,0.98,1.95,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.542,54.2
202104,AG,female,3270,sex,345258,9996,0.95,2.9,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.578,57.8
202105,AG,female,3564,sex,345258,13560,1.03,3.93,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.6,60
202106,AG,female,3035,sex,345258,16595,0.88,4.81,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.601,60.099999999999994
202107,AG,female,2860,sex,345258,19455,0.83,5.63,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.544,54.400000000000006
202108,AG,female,4294,sex,345258,23749,1.24,6.88,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.525,52.5
202109,AG,female,4212,sex,345258,27961,1.22,8.1,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.537,53.7
202110,AG,female,4699,sex,345258,32660,1.36,9.46,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.537,53.7
202111,AG,female,2826,sex,345258,35486,0.82,10.28,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.536,53.6
202112,AG,female,4232,sex,345258,39718,1.23,11.5,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.526,52.6
202113,AG,female,4999,sex,345258,44717,1.45,12.95,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.525,52.5
202114,AG,female,6542,sex,345258,51259,1.89,14.85,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.533,53.300000000000004
202115,AG,female,10719,sex,345258,61978,3.1,17.95,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.571,57.099999999999994
202116,AG,female,11210,sex,345258,73188,3.25,21.2,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.509,50.9
202117,AG,female,8180,sex,345258,81368,2.37,23.57,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.52,52
202118,AG,female,11841,sex,345258,93209,3.43,27,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.505,50.5
202119,AG,female,9721,sex,345258,102930,2.82,29.81,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.525,52.5
202120,AG,female,9265,sex,345258,112195,2.68,32.5,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.507,50.7
202121,AG,female,11960,sex,345258,124155,3.46,35.96,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.483,48.3
202122,AG,female,12602,sex,345258,136757,3.65,39.61,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.461,46.1
202123,AG,female,14597,sex,345258,151354,4.23,43.84,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.453,45.300000000000004
202124,AG,female,11586,sex,345258,162940,3.36,47.19,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.443,44.3
202125,AG,female,6657,sex,345258,169597,1.93,49.12,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.465,46.5
202126,AG,female,4758,sex,345258,174355,1.38,50.5,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.485,48.5
202127,AG,female,2734,sex,345258,177089,0.79,51.29,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.468,46.800000000000004
202128,AG,female,2655,sex,345258,179744,0.77,52.06,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.458,45.800000000000004
202129,AG,female,2346,sex,345258,182090,0.68,52.74,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.489,48.9
202130,AG,female,2355,sex,345258,184445,0.68,53.42,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.48,48
202131,AG,female,2675,sex,345258,187120,0.77,54.2,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.493,49.3
202132,AG,female,2338,sex,345258,189458,0.68,54.87,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.487,48.699999999999996
202133,AG,female,3330,sex,345258,192788,0.96,55.84,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.508,50.8
202134,AG,female,4551,sex,345258,197339,1.32,57.16,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.501,50.1
202135,AG,female,4577,sex,345258,201916,1.33,58.48,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.497,49.7
202136,AG,female,5515,sex,345258,207431,1.6,60.08,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.477,47.699999999999996
202137,AG,female,5546,sex,345258,212977,1.61,61.69,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.46,46
202138,AG,female,3521,sex,345258,216498,1.02,62.71,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.483,48.3
202139,AG,female,2266,sex,345258,218764,0.66,63.36,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.49,49
202140,AG,female,1832,sex,345258,220596,0.53,63.89,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.487,48.699999999999996
202141,AG,female,1749,sex,345258,222345,0.51,64.4,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.479,47.9
202142,AG,female,1383,sex,345258,223728,0.4,64.8,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.475,47.5
202143,AG,female,1181,sex,345258,224909,0.34,65.14,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.464,46.400000000000006
202144,AG,female,953,sex,345258,225862,0.28,65.42,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.461,46.1
202145,AG,female,1451,sex,345258,227313,0.42,65.84,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.476,47.599999999999994
202146,AG,female,1223,sex,345258,228536,0.35,66.19,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.477,47.699999999999996
202147,AG,female,1087,sex,345258,229623,0.31,66.51,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.515,51.5
202148,AG,female,1328,sex,345258,230951,0.38,66.89,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.488,48.8
202052,AG,unknown,0,sex,NA,0,NA,NA,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0,0
202053,AG,unknown,0,sex,NA,0,NA,NA,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0,0
202101,AG,unknown,0,sex,NA,0,NA,NA,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0,0
202102,AG,unknown,1,sex,NA,1,NA,NA,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0,0
202103,AG,unknown,0,sex,NA,1,NA,NA,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0,0
202104,AG,unknown,0,sex,NA,1,NA,NA,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0,0
202105,AG,unknown,0,sex,NA,1,NA,NA,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0,0
202106,AG,unknown,0,sex,NA,1,NA,NA,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0,0
202107,AG,unknown,0,sex,NA,1,NA,NA,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0,0
202108,AG,unknown,0,sex,NA,1,NA,NA,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0,0
202109,AG,unknown,0,sex,NA,1,NA,NA,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0,0
202110,AG,unknown,0,sex,NA,1,NA,NA,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0,0
202111,AG,unknown,0,sex,NA,1,NA,NA,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0,0
202112,AG,unknown,1,sex,NA,2,NA,NA,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0,0
202113,AG,unknown,0,sex,NA,2,NA,NA,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0,0
202114,AG,unknown,0,sex,NA,2,NA,NA,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0,0
202115,AG,unknown,0,sex,NA,2,NA,NA,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0,0
202116,AG,unknown,0,sex,NA,2,NA,NA,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0,0
202117,AG,unknown,0,sex,NA,2,NA,NA,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0,0
202118,AG,unknown,1,sex,NA,3,NA,NA,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0,0
202119,AG,unknown,0,sex,NA,3,NA,NA,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0,0
202120,AG,unknown,2,sex,NA,5,NA,NA,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0,0
202121,AG,unknown,3,sex,NA,8,NA,NA,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0,0
202122,AG,unknown,3,sex,NA,11,NA,NA,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0,0
202123,AG,unknown,0,sex,NA,11,NA,NA,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0,0
202124,AG,unknown,0,sex,NA,11,NA,NA,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0,0
202125,AG,unknown,0,sex,NA,11,NA,NA,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0,0
202126,AG,unknown,3,sex,NA,14,NA,NA,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0,0
202127,AG,unknown,0,sex,NA,14,NA,NA,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0,0
202128,AG,unknown,0,sex,NA,14,NA,NA,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0,0
202129,AG,unknown,1,sex,NA,15,NA,NA,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0,0
202130,AG,unknown,1,sex,NA,16,NA,NA,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0,0
202131,AG,unknown,1,sex,NA,17,NA,NA,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0,0
202132,AG,unknown,0,sex,NA,17,NA,NA,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0,0
202133,AG,unknown,0,sex,NA,17,NA,NA,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0,0
202134,AG,unknown,0,sex,NA,17,NA,NA,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0,0
202135,AG,unknown,2,sex,NA,19,NA,NA,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0,0
202136,AG,unknown,2,sex,NA,21,NA,NA,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0,0
202137,AG,unknown,3,sex,NA,24,NA,NA,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0,0
202138,AG,unknown,0,sex,NA,24,NA,NA,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0,0
202139,AG,unknown,0,sex,NA,24,NA,NA,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0,0
202140,AG,unknown,0,sex,NA,24,NA,NA,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0,0
202141,AG,unknown,2,sex,NA,26,NA,NA,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.001,0.1
202142,AG,unknown,0,sex,NA,26,NA,NA,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0,0
202143,AG,unknown,0,sex,NA,26,NA,NA,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0,0
202144,AG,unknown,0,sex,NA,26,NA,NA,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0,0
202145,AG,unknown,0,sex,NA,26,NA,NA,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0,0
202146,AG,unknown,1,sex,NA,27,NA,NA,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0,0
202147,AG,unknown,0,sex,NA,27,NA,NA,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0,0
202148,AG,unknown,0,sex,NA,27,NA,NA,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0,0
202052,AI,male,8,sex,8361,8,0.1,0.1,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.195,19.5
202053,AI,male,0,sex,8361,8,0,0.1,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,NA,NA
202101,AI,male,150,sex,8361,158,1.79,1.89,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.523,52.300000000000004
202102,AI,male,86,sex,8361,244,1.03,2.92,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.503,50.3
202103,AI,male,170,sex,8361,414,2.03,4.95,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.484,48.4
202104,AI,male,42,sex,8361,456,0.5,5.45,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.42,42
202105,AI,male,10,sex,8361,466,0.12,5.57,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.37,37
202106,AI,male,39,sex,8361,505,0.47,6.04,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.375,37.5
202107,AI,male,12,sex,8361,517,0.14,6.18,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.414,41.4
202108,AI,male,30,sex,8361,547,0.36,6.54,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.517,51.7
202109,AI,male,39,sex,8361,586,0.47,7.01,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.506,50.6
202110,AI,male,12,sex,8361,598,0.14,7.15,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.667,66.7
202111,AI,male,13,sex,8361,611,0.16,7.31,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.464,46.400000000000006
202112,AI,male,96,sex,8361,707,1.15,8.46,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.39,39
202113,AI,male,263,sex,8361,970,3.15,11.6,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.494,49.4
202114,AI,male,145,sex,8361,1115,1.73,13.34,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.48,48
202115,AI,male,51,sex,8361,1166,0.61,13.95,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.52,52
202116,AI,male,227,sex,8361,1393,2.71,16.66,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.518,51.800000000000004
202117,AI,male,233,sex,8361,1626,2.79,19.45,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.528,52.800000000000004
202118,AI,male,192,sex,8361,1818,2.3,21.74,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.503,50.3
202119,AI,male,218,sex,8361,2036,2.61,24.35,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.52,52
202120,AI,male,186,sex,8361,2222,2.22,26.58,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.55,55.00000000000001
202121,AI,male,365,sex,8361,2587,4.37,30.94,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.533,53.300000000000004
202122,AI,male,418,sex,8361,3005,5,35.94,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.546,54.6
202123,AI,male,189,sex,8361,3194,2.26,38.2,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.553,55.300000000000004
202124,AI,male,66,sex,8361,3260,0.79,38.99,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.485,48.5
202125,AI,male,78,sex,8361,3338,0.93,39.92,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.65,65
202126,AI,male,58,sex,8361,3396,0.69,40.62,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.592,59.199999999999996
202127,AI,male,55,sex,8361,3451,0.66,41.27,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.64,64
202128,AI,male,50,sex,8361,3501,0.6,41.87,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.543,54.300000000000004
202129,AI,male,16,sex,8361,3517,0.19,42.06,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.471,47.099999999999994
202130,AI,male,46,sex,8361,3563,0.55,42.61,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.495,49.5
202131,AI,male,51,sex,8361,3614,0.61,43.22,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.515,51.5
202132,AI,male,43,sex,8361,3657,0.51,43.74,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.494,49.4
202133,AI,male,65,sex,8361,3722,0.78,44.52,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.485,48.5
202134,AI,male,122,sex,8361,3844,1.46,45.98,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.502,50.2
202135,AI,male,105,sex,8361,3949,1.26,47.23,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.482,48.199999999999996
202136,AI,male,122,sex,8361,4071,1.46,48.69,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.547,54.7
202137,AI,male,200,sex,8361,4271,2.39,51.08,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.543,54.300000000000004
202138,AI,male,68,sex,8361,4339,0.81,51.9,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.493,49.3
202139,AI,male,44,sex,8361,4383,0.53,52.42,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.444,44.4
202140,AI,male,53,sex,8361,4436,0.63,53.06,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.546,54.6
202141,AI,male,34,sex,8361,4470,0.41,53.46,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.531,53.1
202142,AI,male,21,sex,8361,4491,0.25,53.71,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.488,48.8
202143,AI,male,15,sex,8361,4506,0.18,53.89,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.326,32.6
202144,AI,male,16,sex,8361,4522,0.19,54.08,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.516,51.6
202145,AI,male,48,sex,8361,4570,0.57,54.66,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.522,52.2
202146,AI,male,21,sex,8361,4591,0.25,54.91,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.656,65.60000000000001
202147,AI,male,19,sex,8361,4610,0.23,55.14,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.487,48.699999999999996
202148,AI,male,20,sex,8361,4630,0.24,55.38,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.408,40.8
202052,AI,female,33,sex,7932,33,0.42,0.42,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.805,80.5
202053,AI,female,0,sex,7932,33,0,0.42,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,NA,NA
